predicted_clusters,MinAge,MaxAge,AvgMortality
1,31,42,0.0
3,0,10,0.0003333333333333333
2,43,53,0.044124999999999984
5,12,25,0.08604651162790698
4,54,64,0.11711864406779658
0,65,79,0.37108695652173923
