ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
148,South Korea,Goyang,1,Positive only,54,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
150,USA,Washington,1,Positive only,35,1.00,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,1.00,,1.00,1.00,,0.00,,1.00,1.00,1.00,1.00,1.00,1.00,,,,0.00,0.00
151,China,Wuhan,287,Positive only,21,0.56,0.00,0.00,1.00,0.00,0.00,,0.30,0.16,0.12,0.06,0.03,0.04,0.08,0.02,,0.78,0.07,0.73,0.48,,,0.48,0.48,,,,,,,0.48,,0.00,0.07
151,China,Wuhan,55,Positive only,22,0.69,0.00,0.00,1.00,0.00,0.00,,0.42,0.22,0.18,0.11,0.05,0.02,0.16,0.05,,0.73,0.18,0.75,0.53,,,0.45,0.45,,,,,,,0.44,,0.00,0.03
151,China,Wuhan,232,Positive only,20,0.53,0.00,0.00,1.00,0.00,0.00,,0.28,0.14,0.10,0.04,0.02,0.04,0.08,0.01,,0.79,0.05,0.72,0.47,,,0.48,0.48,,,,,,,0.49,,0.00,0.22
152,USA,New York City,1999,Positive only,62,0.62,0.46,0.15,0.06,,0.33,0.26,0.37,0.25,0.16,0.10,0.07,,,0.10,0.26,,,,,,,,,,,,,,,,,0.00,0.15
154,China,Wuhan,274,Positive only,60,0.55,0.00,0.00,1.00,0.00,0.00,,,0.15,0.11,0.06,0.03,0.04,0.08,0.02,,0.78,,0.73,0.47,,,0.50,,,,,,,,,,0.00,0.08
154,China,Wuhan,75,Positive only,67,0.55,0.00,0.00,1.00,0.00,0.00,,,0.31,0.21,0.09,0.03,0.04,0.15,0.05,,0.76,,0.71,0.47,,,0.52,,,,,,,,,,0.00,0.09
154,China,Wuhan,199,Positive only,58,0.55,0.00,0.00,1.00,0.00,0.00,,,0.10,0.08,0.04,0.03,0.04,0.06,0.01,,0.78,,0.73,0.47,,,0.48,,,,,,,,,,0.00,0.07
156,Europe/North America,Various,53,Positive only,54,0.75,,,,,,,0.25,0.17,0.11,0.11,,,,,,,,,,,,,,,0.09,,,,,,,,0.13
156,Europe/North America,Various,34,Positive only,61,0.79,,,,,,,0.26,0.24,0.18,0.15,,,,,,,,,,,,,,,0.03,,,,,,,,0.18
156,Europe/North America,Various,19,Positive only,65,0.68,,,,,,,0.21,0.05,0.00,0.05,,,,,,,,,,,,,,,0.21,,,,,,,,0.05
157,China,Wuhan ,245,Positive only,53,0.47,0.00,0.00,1.00,0.00,0.00,0.04,0.21,0.09,0.07,0.03,0.04,0.03,,,,0.81,,0.57,0.18,0.05,0.27,0.31,0.48,,0.07,0.04,0.23,0.07,,,,,0.13
157,China,Wuhan ,82,Positive only,45,0.29,0.00,0.00,1.00,0.00,0.00,0.01,0.13,0.06,0.06,0.02,0.02,0.00,,,,0.74,,0.48,0.10,0.06,0.18,0.29,0.44,,0.07,0.04,0.17,0.11,,,,,0.02
157,China,Wuhan ,81,Positive only,53,0.49,0.00,0.00,1.00,0.00,0.00,0.05,0.17,0.07,0.04,0.05,0.01,0.04,,,,0.77,,0.60,0.12,0.06,0.30,0.33,0.44,,0.10,0.02,0.19,0.09,,,,,0.06
157,China,Wuhan ,82,Positive only,61,0.61,0.00,0.00,1.00,0.00,0.00,0.06,0.33,0.15,0.12,0.02,0.07,0.05,,,,0.91,,0.63,0.33,0.02,0.34,0.29,0.55,,0.05,0.06,0.33,0.01,,,,,0.32
159,China,Xiangyang,119,Positive only,49,0.47,0.00,0.00,1.00,0.00,0.00,,0.19,0.10,0.06,,,0.02,,0.02,,0.86,,0.63,,0.14,0.18,,0.75,,0.12,0.03,,,,,,0.00,0.03
159,China,Xiangyang,99,Positive only,45,0.44,0.00,0.00,1.00,0.00,0.00,,0.10,0.07,0.03,,,0.02,,0.01,,0.86,,0.53,,0.15,0.16,,0.75,,0.11,0.03,,,,,,0.00,0.00
