,ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),Headache,Sputum (/Expectoration),Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia,Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality,Mortality_bin
417,93,China,Shenzhen,1,Positive only,35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
418,93,China,Shenzhen,1,Positive only,65,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
419,94,Netherlands,Nationwide,86,Positive only,16,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.76,0.38,0.57,0.0,0.64,0.0,0.0,0.19,0.17,0.17,0.4,0.0,0.0,0.0,0.0,0.0,0
420,94,Netherlands,Nationwide,32,Positive only,16,0.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63,0.0,0.66,0.19,0.56,0.0,0.66,0.0,0.0,0.16,0.03,0.03,0.34,0.0,0.0,0.0,0.0,0.0,0
421,94,Netherlands,Nationwide,54,Positive only,16,0.17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.82,0.43,0.57,0.0,0.82,0.0,0.0,0.2,0.26,0.26,0.5,0.0,0.0,0.0,0.0,0.0,0
422,98,China,Sichuan,81,Positive only,51,0.63,0.0,0.0,1.0,0.0,0.0,0.04,0.19,0.22,0.06,0.14,0.0,0.0,0.06,0.04,0.42,0.48,0.0,0.49,0.31,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0
423,98,China,Sichuan,53,Positive only,50,0.64,0.0,0.0,1.0,0.0,0.0,0.02,0.17,0.15,0.04,0.09,0.0,0.0,0.04,0.02,0.34,0.47,0.0,0.55,0.32,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
424,98,China,Sichuan,10,Positive only,73,0.4,0.0,0.0,1.0,0.0,0.0,0.1,0.4,0.3,0.3,0.3,0.0,0.0,0.3,0.2,0.9,0.5,0.0,0.3,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
425,98,China,Sichuan,18,Positive only,48,0.72,0.0,0.0,1.0,0.0,0.0,0.06,0.11,0.39,0.0,0.17,0.0,0.0,0.0,0.0,0.39,0.5,0.0,0.61,0.28,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
426,99,China,Shenzhen,391,Positive only,16,0.48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84,0.0,0.39,0.03,0.16,0.0,0.19,0.14,0.0,0.01,0.01,0.0,0.07,0.06,0.03,0.0,0.06,0.01,0
427,101,France,Marseille,80,Positive only,53,0.53,1.0,0.0,0.0,0.0,0.0,0.0,0.16,0.11,0.08,0.1,0.06,0.0,0.0,0.0,0.08,0.15,0.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.05,0.01,0
428,102,China,Wuhan,236,Positive only,52,0.47,0.0,0.0,1.0,0.0,0.0,0.0,0.28,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.53,0.0,0.57,0.06,0.0,0.1,0.02,0.28,0.0,0.16,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0
