Median Age,Smoking history,Current drinker,Obesity,Hypertension,Diabetes,Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,Chronic kidney/renal disease,Other,Mortality
65,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,46,15,17,12,6,2,10,6,10,1
31,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,0,2,0,0,0,0,0,0,0,0,0
44,15,10,0,9,3,1,2,1,2,1,0,0,0
56,29,41,0,113,57,36,28,0,0,39,7,39,0
71,9,10,0,60,25,16,17,0,0,22,3,22,1
49,20,31,0,53,32,20,11,0,0,17,4,17,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,7,0,0,4,0,0,0,0,0
67,11,0,0,0,0,0,0,0,0,0,0,0,0
73,7,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,10,0,7,0,0,5,0,1
4,0,0,0,0,0,0,0,0,0,0,0,7,0
50,0,0,0,2,1,0,0,1,0,0,0,1,0
65,0,0,0,1,0,0,0,1,0,0,0,0,0
66,0,0,0,1,0,0,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0,0,0,0,0,0,1,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,1,0,0,0,0,0,0,0,0
71,0,0,0,59,22,24,14,7,18,13,11,0,1
72,0,0,0,26,9,9,4,3,9,4,2,0,1
71,0,0,0,33,13,15,10,4,9,9,9,0,1
65,0,0,0,33,14,0,12,4,3,12,5,0,1
57,2,0,0,42,17,7,2,0,8,0,0,14,0
52,0,0,0,20,9,3,0,0,4,0,0,8,0
64,2,0,0,22,8,4,2,0,4,0,0,6,0
69,4,0,0,21,7,5,4,1,0,8,3,0,1
34,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1,0,0,2,1,2,1,0,1,0,0,4,0
55,1,0,0,1,1,1,1,0,0,0,0,2,0
55,0,0,0,37,12,0,4,0,0,6,10,0,0
49,0,0,0,16,1,0,2,0,0,0,2,0,0
61,0,0,0,21,11,0,2,0,0,6,8,0,0
33,1,0,0,2,2,1,0,0,0,1,1,0,0
53,0,0,0,0,0,0,0,0,0,0,1,0,0
32,1,0,0,2,2,1,0,0,0,1,0,0,0
73,0,0,0,16,9,9,2,4,0,0,0,9,1
55,0,0,0,0,1,0,0,0,0,0,0,0,1
62,0,0,0,1,1,0,0,0,0,0,0,0,1
81,0,0,0,1,0,1,0,0,0,0,0,0,1
72,0,0,0,1,1,1,1,0,0,0,0,1,1
83,0,0,0,1,1,1,0,0,0,0,0,1,1
70,0,0,0,1,0,0,0,0,0,0,0,0,1
73,0,0,0,0,0,1,0,0,0,0,0,0,1
74,0,0,0,0,0,1,0,0,0,0,0,0,1
82,0,0,0,1,0,1,0,0,0,0,0,0,1
78,0,0,0,1,0,0,0,0,0,0,0,1,1
78,0,0,0,1,0,0,0,0,0,0,0,0,1
67,0,0,0,0,1,0,0,0,0,0,0,0,1
94,0,0,0,1,0,1,0,0,0,0,0,0,1
69,0,0,0,0,0,0,0,0,0,0,0,0,1
90,0,0,0,1,0,0,0,0,0,1,0,1,1
75,0,0,0,1,1,0,0,0,0,0,0,0,1
