ID,Country,Province/State,Study Pop Size (N),Positive/negative cases,Mean Age,% Male,% White or European,% African American,% Asian,% Hispanic or Latino,% Multiple ethnicities or other,Smoking history,"Hypertension,Diabetes", Cardiovascular Disease (incl. CAD),Chronic obstructive lung (COPD),Cancer (Any),Liver Disease (any),Cerebrovascular Disease,"Chronic kidney/renal disease,Other",Fever (temperature ≥37·3°C),Respiratory rate > 24 breaths per min,Cough,Shortness of Breath (dyspnoea),"Headache,Sputum (/Expectoration)",Myalgia (Muscle Pain),Fatigue,Upper air-way congestion,Diarrhoea,Nausea or Vomiting,Loss of Appetite/Anorexia, Sore Throat/Stuffy Nose,Chills,Chest Pain,Loss of smell/taste,Disease Severity Asymptomatic,Mortality
193.0,China,Shenzhen,23,Positive only,25.3,30.40%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,0.00%,,0.00%,0.00%,,47.80%,,56.50%,0.00%,,8.70%,8.70%,,8.70%,4.30%,,,0.00%,4.30%,,0.00%,0
193.0,China,Shenzhen,304,Positive only,43.4,44.10%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,2.60%,,3.30%,0.00%,,71.10%,,70.40%,6.20%,,8.90%,23.40%,,17.40%,10.90%,,,3.00%,11.50%,,0.00%,0
193.0,China,Shenzhen,74,Positive only,58.3,60.80%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,2.70%,,4.10%,1.40%,,94.60%,,87.80%,40.50%,,28.40%,48.60%,,23.00%,13.50%,,,5.40%,35.10%,,0.00%,0
193.0,China,Shenzhen,19,Positive only,62.4,73.70%,0.00%,0.00%,100.00%,0.00%,0.00%,,,,15.80%,,0.00%,5.30%,,89.50%,,78.90%,89.50%,,26.30%,57.90%,,10.50%,10.50%,,,5.30%,26.30%,,0.00%,0.21
197.0,China,Wuhan,223,Positive only,,56.50%,0%,0%,100%,0%,0%,,,,,2.20%,,,,78.90%,,69.10%,,,,56.50%,,6.70%,,,,,,,,0.3
197.0,China,Wuhan,125,Positive only,,48.80%,0%,0%,100%,0%,0%,,,,,0.80%,,,,73.60%,,68.00%,,,,58.40%,,8.00%,,,,,,,,0
197.0,China,Wuhan,98,Positive only,,66.30%,0%,0%,100%,0%,0%,,,,,4.10%,,,,85.70%,,70.40%,,,,54.10%,,5.10%,,,,,,,,0.68
198.0,USA,New York,257,Positive,,66%,12%,19%,4%,62%,3%,13%,,,9%,7%,2%,9%,,71%,,66%,74%,,26%,,7%,12%,,,,,,,0%,0.33
199.0,China,Hubei,237,Positive only,65.0,59%,,,,,,,,,,,,,,36.65%,20.00%,,,,,,,3.00%,4.30%,0.70%,,,,,0%,0.14
199.0,China,Hubei,158,Positive only,66.0,56%,,,,,,,,,,,,,,35.00%,23.00%,,,,,,,3.00%,5.00%,1.00%,,,,,0%,0.15
199.0,China,Hubei,78,Positive only,64.0,65%,,,,,,,,,,,,,,40.00%,14.00%,,,,,,,3.00%,3.00%,0.00%,,,,,0%,0.13
200.0,USA,New York,151,Positive only,55.6,57%,,,,,,21.20%,,,6.60%,2.60%,1.30%,,,73.50%,,76.80%,54.30%,,,,,19.90%,9.30%,,,15.20%,,,,0.15
200.0,USA,New York,618,Positive only,63.0,57.30%,,,,,,22.60%,,,6.80%,7.80%,1.90%,,,72.50%,,72.80%,60.80%,,,,,25.20%,22.30%,,,19.40%,,,,0.13
200.0,USA,New York,231,Positive only,62.2,67.50%,,,,,,24.20%,,,6.10%,6.10%,1.70%,,,73.20%,,71.90%,74%,,,,,20.80%,10%,,,16.50%,,,,0.31
200.0,USA,New York,1000,Positive only,61.7,59.60%,,,,,,22.80%,,,6.60%,6.60%,1.80%,,,72.80%,,73.20%,62.90%,,,,,23.40%,17.50%,,,18.10%,,,,0.17
